tconst	averageRating	numVotes
tt0000866	5.7	10
tt0000870	5.8	60
tt0000871	5.6	140
tt0000873	5.8	13
tt0000874	5.5	56
tt0000875	4.8	38
tt0000877	4.6	124
tt0000878	5.0	199
tt0000880	5.6	98
tt0000882	5.6	251
tt0000883	6.3	13
tt0000884	3.5	13
tt0000886	4.4	42
tt0000887	4.9	58
tt0000890	7.4	33
tt0000891	5.7	73
tt0000892	5.6	114
tt0000893	6.4	47
tt0000895	5.4	234
tt0000897	5.3	86
tt0000898	6.1	28
tt0000900	5.2	25
tt0000901	5.8	26
tt0000902	5.8	18
tt0000903	7.0	23
tt0000904	5.3	129
tt0000905	6.0	26
tt0000907	7.2	24
tt0000908	6.7	33
tt0000910	5.7	28
tt0000911	3.6	27
tt0000912	4.3	78
tt0000916	5.9	75
tt0000919	4.8	25
tt0000920	5.8	25
tt0000921	6.0	27
tt0000922	4.9	133
tt0000924	6.0	224
tt0000928	5.3	113
tt0000929	5.3	51
tt0000930	4.6	15
tt0000932	3.2	11
tt0000933	5.1	116
tt0000934	4.6	23
tt0000935	5.8	126
tt0000936	6.1	142
tt0000938	4.6	212
tt0000939	5.8	21
tt0000941	4.3	33
tt0000942	6.2	1205
tt0000943	6.0	15
tt0000944	3.8	12
tt0000945	4.9	101
tt0000946	4.7	97
tt0000950	4.6	18
tt0000956	6.4	18
tt0000957	6.2	53
tt0000958	6.4	19
tt0000960	4.6	328
tt0000961	8.8	23
tt0000962	6.0	16
tt0000964	5.8	18
tt0000966	5.6	392
tt0000967	6.0	19
tt0000969	6.6	27
tt0000970	5.6	90
tt0000971	6.2	200
tt0000972	5.7	123
tt0000974	5.2	76
tt0000975	5.0	27
tt0000976	4.3	20
tt0000979	5.1	42
tt0000981	5.6	77
tt0000986	5.1	132
tt0000987	7.8	11
tt0000988	4.7	29
tt0000989	4.8	66
tt0000990	5.7	109
tt0000991	6.6	19
tt0000992	4.4	16
tt0000995	7.7	19
tt0000997	7.2	18
tt0000998	5.3	22
tt0001000	5.4	71
tt0001001	5.1	159
tt0001002	4.8	114
tt0001005	5.5	31
tt0001008	5.5	34
tt0001009	6.4	1090
tt0001010	3.7	18
tt0001013	5.8	444
tt0001014	4.7	137
tt0001015	5.1	30
tt0001016	5.1	177
tt0001020	5.8	15
tt0001025	8.7	18
tt0001027	6.7	18
tt0001028	3.5	25
tt0001029	5.0	67
tt0001032	5.9	1027
tt0001033	5.1	23
tt0001035	5.1	47
tt0001036	2.6	14
tt0001037	3.4	19
tt0001038	2.9	24
tt0001041	5.1	59
tt0001044	5.1	130
tt0001045	5.6	16
tt0001049	4.5	22
tt0001050	4.8	97
tt0001052	6.4	18
tt0001053	7.0	17
tt0001054	5.6	45
tt0001058	5.6	30
tt0001061	6.5	96
tt0001062	6.2	1352
tt0001063	6.5	18
tt0001064	5.0	56
tt0001065	5.8	18
tt0001066	4.9	26
tt0001067	5.6	79
tt0001071	7.3	16
tt0001072	5.6	445
tt0001074	6.4	22
tt0001075	6.0	18
tt0001076	5.8	27
tt0001077	6.6	16
tt0001078	5.4	75
tt0001079	5.4	18
tt0001083	4.9	167
tt0001084	5.2	201
tt0001085	6.2	18
tt0001086	7.0	18
tt0001088	4.9	87
tt0001089	8.3	41
tt0001090	7.8	17
tt0001091	5.3	239
tt0001092	5.8	69
tt0001094	5.4	18
tt0001095	4.0	18
tt0001098	6.6	20
tt0001099	6.6	18
tt0001101	4.5	42
tt0001103	5.7	69
tt0001104	5.2	61
tt0001105	6.4	1102
tt0001106	5.9	206
